Ðaukinys;1;2;3;4;5;6;7;8;9;10;11;12;Ið viso
;;;;;;;;;;;;;
;;;;;;;;;;;;;
LY2R;32043;42797;42423;42674;;43437;-;46140;26534;-;;49302;325350
LY2NA;-;32059;32713;36474;34683;38046;44773;41623;40491;38674;40402;33657;315166
YL2AJ;24637;32110;26941;34347;33524;36625;-;42956;36545;38165;-;32893;287165
LY2WR;15078;22966;;45277;29780;31432;31917;26222;42622;-;;29817;260033
SP2FRY;;;;;30669;32022;29763;29939;35801;35147;31670;34837;259848
R1DM;17236;27666;;30001;25765;30605;32765;-;38401;-;-;37255;239694
LY1CR;21590;24658;19872;18525;15434;22746;22439;24723;25690;26272;;21905;190023
LY2HM;10566;15036;15095;20501;19070;21991;23418;24748;;22371;31956;13828;179150
LY2FN;;3289;16501;13474;14073;17337;20525;25466;20282;12647;;2880;140305
EU1AI;10454;10446;-;13493;16716;19448;13746;16062;17122;-;17546;13901;128034
EW3AA;16781;15488;18147;19151;;;;;24109;21897;;;115573
LY2BBF;7569;7556;3521;10656;8968;12567;10441;12297;16459;11331;14116;5493;96835
EU4AX;7864;3141;6742;7910;;11895;;16087;13399;8981;;16553;89431
RA2FB;2538;-;8955;5806;6119;10874;8291;12080;9610;9686;13452;5314;79067
LY2VO;14076;7212;3210;12662;13132;11458;;9779;;;;;71529
LY1CO;4677;12137;5832;9919;6211;;11119;;-;;13194;-;63089
EW1KP;6365;;;;;15474;;11368;16889;;;10675;60771
YL2GD;-;12362;15973;13823;17021;;;;;;;;59179
LY3PEJ;4292;4644;6165;6290;4215;5909;5881;10265;7528;8258;4933;2741;55229
LY3DE;;2874;3050;4884;5478;7024;3159;8430;9801;7917;8528;3004;55221
LY2SA;;;;;;22356;;30947;;;;;53303
SQ8AQX;;;;9639;8505;;3027;9744;6576;6763;7396;;51650
LY2HS;;;;12598;17355;;4753;10346;;;;;45052
LY3TK;1511;5319;3199;3313;5818;4231;2636;6458;3644;6054;8377;812;43214
EW6BA;;;;;;;7335;10952;;;15898;;34185
LY2DR;2213;2731;4337;3575;1510;3810;2865;3320;7079;4122;4793;1415;33901
EW7T;;;13998;15933;;;;;;;;;29931
LY2HQ;1987;2608;-;2598;2631;4824;;5125;3158;3263;5498;1856;29705
RA2FX;;1190;1873;605;1877;3621;3341;7091;-;2957;7427;-;29377
LY4TB;;;;;;;10652;18366;;;;;29018
EU2AA;;;;;;;7279;;9153;;;5114;21546
EW6X;;;;;;;;;17738;;;;17738
SP2FAV;;;5987;;;;;11360;;;;;17347
LY1BWB;;5386;2697;5793;;;;;;3345;;;17221
LY5EZ;;;;;3518;5991;;-;4578;;;;14087
SP2HHX;;;;;;;12969;;;;;;12969
LY3BBM;0;;;;;2096;;-;1780;1852;4455;2061;12244
LY1R;;;;;;8273;;;;3944;;;12217
EW4A;;;;;;;;;12128;;;;12128
LY2AX;;;;;;;;3061;;;8555;;11616
LY17PM;;;;;;10748;;;;;;;10748
EU1DE/2;;;;;;10174;;;;;;;10174
LY3PDX;;1732;1942;;;2641;;;0;587;2792;;9694
RA2FGG;;;;;;;-;-;-;-;;9471;9471
LY2SH;;;;;;3467;;;;;3855;;7322
EW4VX;;1695;2191;;;;;3013;;;;;6899
LY2UT;;;;;;;;;;;;3731;3731
LY3AR;;;;;;3253;;;;;;;3253
LY3EU;;;;;;;787;2056;;;;;2843
LY4MA;;2344;;;;;;;;;;;2344
R3LW;;;;;;;1271;;;;;;1271
LY5LT;;;;;;;;;;;1214;;1214
LY4VM;;;512;518;;;;;;;;;1030
LY2SS;;;;;;573;;;;;;;573
LY5YY;;;;;;;;;;;;506;506
